tt,opt,tree,gap,canalizing,verdict,t_sec
1753947299,,,,0,timeout_opt_k8@90s,109.4
2382893763,,,,0,timeout_opt_k8@90s,117.0
2602736783,,,,0,timeout_opt_k8@90s,129.6
584455712,,,,0,timeout_opt_k8@90s,111.6
4009224212,,,,0,timeout_opt_k8@90s,120.1
4173355880,,,,0,timeout_opt_k8@90s,119.3
431737018,,,,0,timeout_opt_k8@90s,114.0
1188581255,,,,0,timeout_opt_k8@90s,104.6
862204383,,,,0,timeout_opt_k8@90s,109.5
3052494685,,,,0,timeout_opt_k8@90s,105.6
