npn_canon,papel,min_reconv,n_testemunhas,popcount,veredicto,cnf_sha16,drat_sha16,drat_trim_forced,drat_trim_tree
0x001faebe,nova,2,3840,16,CERTIFICADO,c0424327060d87fc,b4d41af3da4da6d0,VERIFIED,VERIFIED
0x001fafb0,nova,2,3840,14,CERTIFICADO,095ce8935792f8bb,0c7bbd023d5b4cc8,VERIFIED,VERIFIED
0x003c5f33,nova,2,3840,14,CERTIFICADO,bb9c9ddfb989e231,a4835fce41ab0583,VERIFIED,VERIFIED
0x003c5f4c,nova,2,3840,13,CERTIFICADO,b97228c2c7bb1a67,3d6e74831bbfef78,VERIFIED,VERIFIED
0x003c5f70,nova,2,3840,13,CERTIFICADO,586c689dfe9762ab,8fab3caf2f0fe943,VERIFIED,VERIFIED
0x003c7d3d,nova,2,1920,15,CERTIFICADO,c610e066c0a3abb0,cf2e9cf90b4a0907,VERIFIED,VERIFIED
0x003cff05,nova,2,3840,14,CERTIFICADO,bba1054eb4a4d1fb,1f53b93449e740b1,VERIFIED,VERIFIED
0x003d7c7d,nova,2,960,16,CERTIFICADO,93bb3b22a0f9343a,193e3016e326d34f,VERIFIED,VERIFIED
0x003f5f6e,nova,2,1920,17,CERTIFICADO,acd252f2bfc5064f,3c7353c457a8d715,VERIFIED,VERIFIED
0x003fcff5,nova,2,1920,18,CERTIFICADO,0792201862c8337a,ff2d78dc5515e0b7,VERIFIED,VERIFIED
0x003fddfa,nova,2,1920,18,CERTIFICADO,52d33d233ec26399,4d95f6c1bee33cf7,VERIFIED,VERIFIED
0x013dc1fd,nova,2,480,16,CERTIFICADO,e1511daa9c67ad04,eed49fc3bc3f31c3,VERIFIED,VERIFIED
0x0189fbd9,nova,2,960,16,CERTIFICADO,668a105e3812c84b,f6a61cb4adf282bb,VERIFIED,VERIFIED
0x01abef45,nova,2,1920,16,CERTIFICADO,04fc68e1a5af487d,cd514b16f9b90ed8,VERIFIED,VERIFIED
