tt,opt,tree,gap,canalizing,verdict,t_sec
3075489305,,,,0,timeout_opt_k8@90s,114.1
2238577457,,,,0,timeout_opt_k8@90s,119.1
1980957303,,,,0,timeout_opt_k8@90s,147.4
216627147,,,,0,timeout_opt_k8@90s,119.8
2636676702,,,,0,timeout_opt_k8@90s,114.8
546872180,,,,0,timeout_opt_k8@90s,117.8
2510337918,,,,0,timeout_opt_k8@90s,106.4
1197327090,,,,0,timeout_opt_k8@90s,102.5
1585229408,,,,0,timeout_opt_k8@90s,101.8
4147417210,,,,0,timeout_opt_k8@90s,108.5
